Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-03,Liam is a friend of mine,,https://boxd.it/iXO3q,

Position,Name,Year,URL,Description
1,WALL·E,2008,https://boxd.it/1VEo,
2,Django Unchained,2012,https://boxd.it/2cCk,
3,1917,2019,https://boxd.it/jj4y,
4,T2 Trainspotting,2017,https://boxd.it/5vTA,
5,Trainspotting,1996,https://boxd.it/29XY,
6,Knives Out,2019,https://boxd.it/jWEA,
7,Moulin Rouge!,2001,https://boxd.it/29wI,
8,The Matrix,1999,https://boxd.it/2a1m,
9,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,
10,Coraline,2009,https://boxd.it/1NhQ,
11,Mean Girls,2004,https://boxd.it/1VNg,
12,Palm Springs,2020,https://boxd.it/lCXQ,
13,The Thing,1982,https://boxd.it/294O,
14,Coco,2017,https://boxd.it/bYJQ,
15,The Lego Batman Movie,2017,https://boxd.it/azp0,
16,Violent Night,2022,https://boxd.it/xXBA,
17,Mars Attacks!,1996,https://boxd.it/2bd4,
